NDC,Catalog Number,Price
50263006004,000230,41.71
72531738507,000447,20.20
35067037528,000857,177.26
34662026473,001301,186.66
07372655845,001318,1.86
70801062423,001551,43.28
30307007534,001633,19.64
48453005210,002000,30.57
43855128706,002022,94.19
06051037028,002263,23.23
24782578401,002271,19.81
04874147000,002327,31.40
07604521317,002331,41.35
05535165656,002482,23.71
53116027203,002560,41.34
51163661601,002827,37.16
36257558003,003065,30.55
54100040366,003222,23.18
07633122520,003716,49.64
07622142771,004026,69.37
62271020773,004064,41.10
04322765252,004247,9.99
26500340007,004276,18.23
03687788561,004380,23.00
04335358267,004461,117.59
02518404715,004485,25.89
08783053004,005478,1.60
05660413024,005613,102.11
01118360304,005821,91.54
07808633747,006111,36.36
12535073658,006462,188.20
06856880013,006824,45.00
60182036854,007172,18.37
51634454702,007313,109.76
51183010843,007348,80.75
04434723884,007575,34.45
02804315005,007816,11.90
76741835508,008410,87.46
04652403155,008477,90.47
43018053463,008486,182.27
14644170602,008516,3.18
66247005388,008543,50.72
56408462600,008572,32.77
04336133401,010005,89.80
41627323208,010418,29.39
87318116203,010751,23.68
66207074887,011062,69.28
34282031410,011113,33.92
73427738500,011258,40.28
01573662874,011583,7.52
06641123501,011731,11.88
05558623631,011734,73.41
02813823275,011866,19.20
00075570060,012204,37.20
23770603707,012368,56.10
07554142377,012402,18.96
01113388280,012501,9.50
06744555262,012536,22.15
03710537613,012627,31.16
73076282007,012726,187.17
28770002323,013084,13.78
05538185566,013267,15.63
20710782302,013317,93.67
76711018183,013384,17.01
22106074786,013706,49.25
72250583204,013724,61.69
08050121307,013788,18.85
01638025337,013807,72.46
07323640005,013883,95.50
14164010662,014122,36.30
01435205834,014125,29.44
62446575704,014233,44.18
40434232708,014257,5.14
08325536174,014383,16.19
05167468803,014616,98.62
03181361310,014671,76.97
51732011485,014687,84.70
00388478727,014806,87.90
53426486208,015243,15.77
01200016311,015342,18.26
42547032203,015656,133.71
05841487836,015705,14.99
27268247000,015842,150.24
45682046808,016026,16.90
64647514507,016355,37.81
51730840507,016785,19.89
04124785251,017108,79.40
78462722500,017203,43.79
52705023755,017214,1.90
28486007142,017418,16.24
02300453244,017650,8.93
00181726715,017760,2.51
06847361034,018123,40.93
03073266262,018521,47.45
13308068826,018623,38.27
08731631546,018637,94.95
00261834215,018877,24.95
06760516881,020026,172.38
13700007708,020050,95.46
87248061353,020150,38.82
06163126043,020464,92.13
13785057713,020510,15.40
62752057326,020658,16.40
64771047020,021638,51.90
00614532203,021651,48.62
07050837231,022006,42.28
77364001478,022106,3.42
77558514002,022127,40.73
00113015706,022187,55.63
52001341707,022247,67.53
66614006236,022464,26.79
08451044730,022480,48.88
01630771332,022603,10.60
00136381370,023326,25.40
30588033144,023484,39.84
22138688808,023532,41.38
86213185300,023683,28.47
06676182843,023725,2.85
55604603203,023765,155.70
56657451102,023781,115.67
46012245606,023801,69.60
76370070464,023831,13.35
30417037116,024203,4.26
01865518412,024330,96.44
04378560202,024341,20.22
05764352658,024404,68.91
06472575086,024464,19.75
52473767602,024515,21.58
38010013105,024848,20.22
03272080630,024866,50.96
00557575661,025061,21.93
53074265200,025218,32.36
03416800287,025431,63.90
44423026684,025505,2.40
54040565001,025551,37.80
58860021107,025634,88.36
05702538400,026027,132.45
43076053772,026030,94.79
16748444105,026040,12.70
03482827822,026047,31.17
27723100202,026133,29.51
66846088756,026173,43.15
03423441101,026256,8.53
63408828703,026815,199.63
03668131683,026853,14.10
58405275305,027041,169.81
46885042051,027085,30.76
58175055176,027186,10.10
00330664748,027244,5.99
01125205845,027265,12.94
08536213620,027516,18.81
00424055511,027601,40.87
17303040838,027754,27.35
01575481727,027840,87.88
02437638600,028040,161.92
03882562425,028082,48.64
78530032587,028230,110.70
75678173008,028336,90.15
46210074377,028588,188.22
80788032426,028827,8.40
51144384105,030204,11.41
05516580857,030385,73.52
58054071103,030476,29.90
00477072826,031076,15.83
50734844706,031128,41.58
00736880437,031164,161.78
03811014487,031268,30.58
02820080785,031516,36.25
05075275310,031537,37.20
00721452680,031684,41.51
08833312446,031702,7.70
43728088427,031736,37.83
03018311068,032056,38.45
06340063161,032062,10.55
88715044707,032066,2.16
07700822220,032347,41.41
